year,type,discipline,event,as,athlete_id,noc,team,place,tied,medal
1932.0,Winter,Bobsleigh (Bobsleigh),"Four, Men (Olympic)",Eddie Eagan,8658,USA,United States 1,1.0,False,Gold
1948.0,Winter,Winter Pentathlon,"Winter Pentathlon, Men (Olympic (non-medal))",Derek Allhusen,11530,GBR,,6.0,False,
1924.0,Winter,Bobsleigh (Bobsleigh),"Four/Five, Men (Olympic)",Charley Stoffel,12796,SUI,Switzerland 2,,False,
1928.0,Winter,Bobsleigh (Bobsleigh),"Four/Five, Men (Olympic)",Charley Stoffel,12796,SUI,Switzerland 1,8.0,False,
2002.0,Winter,Bobsleigh (Bobsleigh),"Two, Women (Olympic)",Antonella Bellutti,13065,ITA,Gerda Weissensteiner,7.0,False,
2002.0,Winter,Speed Skating (Skating),"3,000 metres, Women (Olympic)",Clara Hughes,13139,CAN,,10.0,False,
2002.0,Winter,Speed Skating (Skating),"5,000 metres, Women (Olympic)",Clara Hughes,13139,CAN,,3.0,False,Bronze
2006.0,Winter,Speed Skating (Skating),"3,000 metres, Women (Olympic)",Clara Hughes,13139,CAN,,9.0,False,
2006.0,Winter,Speed Skating (Skating),"5,000 metres, Women (Olympic)",Clara Hughes,13139,CAN,,1.0,False,Gold
2006.0,Winter,Speed Skating (Skating),"Team Pursuit (6 laps), Women (Olympic)",Clara Hughes,13139,CAN,Canada,2.0,False,Silver
2010.0,Winter,Speed Skating (Skating),"3,000 metres, Women (Olympic)",Clara Hughes,13139,CAN,,5.0,False,
2010.0,Winter,Speed Skating (Skating),"5,000 metres, Women (Olympic)",Clara Hughes,13139,CAN,,3.0,False,Bronze
1924.0,Winter,Cross Country Skiing (Skiing),"18 kilometres, Men (Olympic)",Roberts Plūme,16155,LAT,,,False,
1924.0,Winter,Cross Country Skiing (Skiing),"50 kilometres, Men (Olympic)",Roberts Plūme,16155,LAT,,,False,
1964.0,Winter,Bobsleigh (Bobsleigh),"Four, Men (Olympic)",Charly Bouvy,17646,BEL,Belgium,17.0,False,
1964.0,Winter,Bobsleigh (Bobsleigh),"Two, Men (Olympic)",Jean-Marie Buisset,17647,BEL,Claude Englebert,,False,
1964.0,Winter,Bobsleigh (Bobsleigh),"Four, Men (Olympic)",Jean-Marie Buisset,17647,BEL,Belgium,17.0,False,
1924.0,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men (Olympic)",André Poplimont,21289,BEL,Belgium,7.0,True,
1928.0,Winter,Bobsleigh (Bobsleigh),"Four/Five, Men (Olympic)",Léon Tom,21302,BEL,Belgium 1,6.0,False,
1932.0,Winter,Bobsleigh (Bobsleigh),"Two, Men (Olympic)",Louis Van Hege,24123,BEL,Max Houben,9.0,False,
1932.0,Winter,Bobsleigh (Bobsleigh),"Four, Men (Olympic)",Louis Van Hege,24123,BEL,Belgium,,False,
1952.0,Winter,Bandy,"Bandy, Men (Olympic (non-medal))",Olof Stolpe,25015,FIN,Finland,3.0,False,
1936.0,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men (Olympic)",Arvīds Jurgens,26349,LAT,Latvia,13.0,True,
1924.0,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men (Olympic)",Sten Mellgren,27268,SWE,Sweden,,False,
1936.0,Winter,Alpine Skiing (Skiing),"Combined, Men (Olympic)",Willi Zacharias,32613,ROU,,,False,
1936.0,Winter,Alpine Skiing (Skiing),Cross Country Skiing (Skiing),Willi Zacharias,32613,ROU,ROU,,True,
1936.0,Winter,Alpine Skiing (Skiing),"4 × 10 kilometres Relay, Men (Olympic)",Willi Zacharias,32613,ROU,Romania,14.0,False,
1992.0,Winter,Bobsleigh (Bobsleigh),"Two, Men (Olympic)",Jorge Bonnet,33503,PUR,"John Amabile, Jr.",46.0,False,
1994.0,Winter,Bobsleigh (Bobsleigh),"Two, Men (Olympic)",Jorge Bonnet,33503,PUR,"John Amabile, Jr.",40.0,False,
1994.0,Winter,Bobsleigh (Bobsleigh),"Four, Men (Olympic)",Jorge Bonnet,33503,PUR,Puerto Rico,25.0,False,
1998.0,Winter,Bobsleigh (Bobsleigh),"Four, Men (Olympic)",Jorge Bonnet,33503,PUR,Puerto Rico,,False,
1924.0,Winter,Military Ski Patrol (Skiing),"Military Ski Patrol, Men (Olympic)",Väinö Bremer,34716,FIN,Finland,2.0,False,Silver
1948.0,Winter,Winter Pentathlon,"Winter Pentathlon, Men (Olympic (non-medal))",Viktor Platan,34730,FIN,,,False,
1936.0,Winter,Nordic Combined (Skiing),"Individual, Men (Olympic)",Percy Legard,34787,GBR,,45.0,False,
1948.0,Winter,Winter Pentathlon,"Winter Pentathlon, Men (Olympic (non-medal))",Percy Legard,34787,GBR,,10.0,False,
1948.0,Winter,Winter Pentathlon,"Winter Pentathlon, Men (Olympic (non-medal))",Claes Egnell,35053,SWE,,,False,
1948.0,Winter,Winter Pentathlon,"Winter Pentathlon, Men (Olympic (non-medal))",Wille Grut,35056,SWE,,2.0,False,
1948.0,Winter,Winter Pentathlon,"Winter Pentathlon, Men (Olympic (non-medal))",Bertil Haase,35062,SWE,,3.0,False,
1924.0,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men (Olympic)",Carlos Van den Driessche,35751,BEL,Belgium,7.0,True,
1936.0,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men (Olympic)",Carlos Van den Driessche,35751,BEL,Belgium,13.0,True,
1928.0,Winter,Bobsleigh (Bobsleigh),"Four/Five, Men (Olympic)",Giuseppe Crivelli,38326,ITA,Italy,21.0,False,
1948.0,Winter,Military Ski Patrol (Skiing),"Military Ski Patrol, Men (Olympic (non-medal))",Vilho Ylönen,42059,FIN,Finland,2.0,False,
1928.0,Winter,Skeleton (Bobsleigh),"Skeleton, Men (Olympic)","Jean, Comte de Beaumont",42118,FRA,,,False,
1936.0,Winter,Bobsleigh (Bobsleigh),"Two, Men (Olympic)",Martial Van Schelle,45525,BEL,Max Houben,9.0,False,
1936.0,Winter,Bobsleigh (Bobsleigh),"Four, Men (Olympic)",Martial Van Schelle,45525,BEL,Belgium 2,5.0,False,
1948.0,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men (Olympic)",Jörg Reichel,53466,AUT,Austria,7.0,False,
1952.0,Winter,Bobsleigh (Bobsleigh),"Two, Men (Olympic)",Albert Casteleyns,53479,BEL,Marcel Leclef,6.0,False,
1956.0,Winter,Bobsleigh (Bobsleigh),"Two, Men (Olympic)",Albert Casteleyns,53479,BEL,Marcel Leclef,13.0,False,
2010.0,Winter,Bobsleigh (Bobsleigh),"Four, Men (Olympic)",Martin Tešovič,56702,SVK,Slovakia,,False,
1952.0,Winter,Bobsleigh (Bobsleigh),"Four, Men (Olympic)",Fritz Stöckli,59986,SUI,Switzerland 2,4.0,False,
1992.0,Winter,Bobsleigh (Bobsleigh),"Two, Men (Olympic)",Paul Narracott,64757,AUS,Glenn Turner,30.0,False,
1928.0,Winter,Bobsleigh (Bobsleigh),"Four/Five, Men (Olympic)",Max Houben,65215,BEL,Belgium 1,6.0,False,
1932.0,Winter,Bobsleigh (Bobsleigh),"Two, Men (Olympic)",Max Houben,65215,BEL,Louis Van Hege,9.0,False,
1932.0,Winter,Bobsleigh (Bobsleigh),"Four, Men (Olympic)",Max Houben,65215,BEL,Belgium,,False,
1936.0,Winter,Bobsleigh (Bobsleigh),"Two, Men (Olympic)",Max Houben,65215,BEL,Martial Van Schelle,9.0,False,
1936.0,Winter,Bobsleigh (Bobsleigh),"Four, Men (Olympic)",Max Houben,65215,BEL,Belgium 2,5.0,False,
1948.0,Winter,Bobsleigh (Bobsleigh),"Two, Men (Olympic)",Max Houben,65215,BEL,Jacques Mouvet,4.0,False,
1948.0,Winter,Bobsleigh (Bobsleigh),"Four, Men (Olympic)",Max Houben,65215,BEL,Belgium,2.0,False,Silver
2006.0,Winter,Bobsleigh (Bobsleigh),"Four, Men (Olympic)",Claudinei da Silva,65547,BRA,Brazil,25.0,False,
1994.0,Winter,Bobsleigh (Bobsleigh),"Two, Men (Olympic)",Glenroy Gilbert,66065,CAN,Chris Lori,15.0,False,
1994.0,Winter,Bobsleigh (Bobsleigh),"Four, Men (Olympic)",Glenroy Gilbert,66065,CAN,Canada 2,11.0,False,
1988.0,Winter,Bobsleigh (Bobsleigh),"Two, Men (Olympic)",Lloyd Guss,66077,CAN,Greg Haydenluck,10.0,False,
1988.0,Winter,Bobsleigh (Bobsleigh),"Four, Men (Olympic)",Lloyd Guss,66077,CAN,Canada 2,13.0,False,
1964.0,Winter,Biathlon,"20 kilometres, Men (Olympic)",Hannu Posti,67751,FIN,,8.0,False,
2002.0,Winter,Bobsleigh (Bobsleigh),"Two, Men (Olympic)",Marcus Adam,68826,GBR,Lee Johnston,10.0,False,
1976.0,Winter,Bobsleigh (Bobsleigh),"Four, Men (Olympic)",Colin Campbell,68941,GBR,Great Britain 1,13.0,False,
2002.0,Winter,Bobsleigh (Bobsleigh),"Four, Men (Olympic)",Phil Harries,69119,GBR,Great Britain 2,14.0,False,
1994.0,Winter,Bobsleigh (Bobsleigh),"Four, Men (Olympic)",John Herbert,69135,GBR,Great Britain 2,8.0,False,
1924.0,Winter,Cross Country Skiing (Skiing),"18 kilometres, Men (Olympic)",Chris Mackintosh,69271,GBR,,,False,
1924.0,Winter,Cross Country Skiing (Skiing),"50 kilometres, Men (Olympic)",Chris Mackintosh,69271,GBR,,,False,
1924.0,Winter,Cross Country Skiing (Skiing),Ski Jumping (Skiing),Chris Mackintosh,69271,GBR,GBR,,True,
1924.0,Winter,Cross Country Skiing (Skiing),"Large Hill, Individual, Men (Olympic)",Chris Mackintosh,69271,GBR,,,False,
1924.0,Winter,Cross Country Skiing (Skiing),Nordic Combined (Skiing),Chris Mackintosh,69271,GBR,GBR,,True,
1924.0,Winter,Cross Country Skiing (Skiing),"Individual, Men (Olympic)",Chris Mackintosh,69271,GBR,,,False,
1998.0,Winter,Bobsleigh (Bobsleigh),"Four, Men (Olympic)",Torsten Voss,69907,GER,Germany 1,8.0,False,
1976.0,Winter,Bobsleigh (Bobsleigh),"Two, Men (Olympic)",Manfred Schumann,70504,FRG,Wolfgang Zimmerer,2.0,False,Silver
1976.0,Winter,Bobsleigh (Bobsleigh),"Four, Men (Olympic)",Manfred Schumann,70504,FRG,West Germany 1,3.0,False,Bronze
1924.0,Winter,Cross Country Skiing (Skiing),"18 kilometres, Men (Olympic)",István Déván,71130,HUN,,31.0,False,
1924.0,Winter,Cross Country Skiing (Skiing),Nordic Combined (Skiing),István Déván,71130,HUN,HUN,,True,
1924.0,Winter,Cross Country Skiing (Skiing),"Individual, Men (Olympic)",István Déván,71130,HUN,,,False,
1924.0,Winter,Cross Country Skiing (Skiing),Ski Jumping (Skiing),István Déván,71130,HUN,HUN,,True,
1924.0,Winter,Cross Country Skiing (Skiing),"Large Hill, Individual, Men (Olympic)",István Déván,71130,HUN,,,False,
2006.0,Winter,Bobsleigh (Bobsleigh),"Four, Men (Olympic)",Zsolt Kürtösi,71212,HUN,Hungary,24.0,False,
1992.0,Winter,Bobsleigh (Bobsleigh),"Two, Men (Olympic)",Terry McHugh,71562,IRL,Pat McDonagh,32.0,False,
1998.0,Winter,Bobsleigh (Bobsleigh),"Two, Men (Olympic)",Terry McHugh,71562,IRL,Jeff Pamplin,27.0,False,
1998.0,Winter,Bobsleigh (Bobsleigh),"Four, Men (Olympic)",Terry McHugh,71562,IRL,Ireland,30.0,False,
1998.0,Winter,Bobsleigh (Bobsleigh),"Four, Men (Olympic)",Shinji Aoto,72431,JPN,Japan 2,16.0,False,
1948.0,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men (Olympic)",Xaver Frick,73193,LIE,Liechtenstein,11.0,False,
1992.0,Winter,Bobsleigh (Bobsleigh),"Two, Men (Olympic)",Miguel Elizondo,73501,MEX,Roberto Tamés,41.0,False,
1994.0,Winter,Bobsleigh (Bobsleigh),"Two, Men (Olympic)",Rob de Wit,73804,NED,Rob Geurts,24.0,False,
1928.0,Winter,Military Ski Patrol (Skiing),"Military Ski Patrol, Men (Olympic (non-medal))",Ole Reistad,74214,NOR,Norway,1.0,False,
1952.0,Winter,Cross Country Skiing (Skiing),"18 kilometres, Men (Olympic)",Martin Stokken,74227,NOR,,6.0,False,
1952.0,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men (Olympic)",Martin Stokken,74227,NOR,Norway,2.0,False,Silver
1956.0,Winter,Cross Country Skiing (Skiing),"15 kilometres, Men (Olympic)",Martin Stokken,74227,NOR,,6.0,False,
1956.0,Winter,Cross Country Skiing (Skiing),"30 kilometres, Men (Olympic)",Martin Stokken,74227,NOR,,15.0,False,
1956.0,Winter,Cross Country Skiing (Skiing),"50 kilometres, Men (Olympic)",Martin Stokken,74227,NOR,,,False,
1956.0,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men (Olympic)",Martin Stokken,74227,NOR,Norway,4.0,False,
1972.0,Winter,Bobsleigh (Bobsleigh),"Two, Men (Olympic)",Edy Hubacher,75825,SUI,Jean Wicki,3.0,False,Bronze
1972.0,Winter,Bobsleigh (Bobsleigh),"Four, Men (Olympic)",Edy Hubacher,75825,SUI,Switzerland 1,1.0,False,Gold
1984.0,Winter,Bobsleigh (Bobsleigh),"Four, Men (Olympic)",Rolf Strittmatter,75920,SUI,Switzerland 2,4.0,False,
1980.0,Winter,Bobsleigh (Bobsleigh),"Four, Men (Olympic)",Runald Beckman,76058,SWE,Sweden,,False,
1992.0,Winter,Bobsleigh (Bobsleigh),"Two, Men (Olympic)",Roman Hrabaň,76622,TCH,Jiří Džmura,25.0,False,
1992.0,Winter,Bobsleigh (Bobsleigh),"Four, Men (Olympic)",Roman Hrabaň,76622,TCH,Czechoslovakia,21.0,False,
1980.0,Winter,Bobsleigh (Bobsleigh),"Four, Men (Olympic)",Willie Davenport,78295,USA,United States 1,12.0,False,
1988.0,Winter,Luge,"Singles, Women (Olympic)",Anne Abernathy,80503,ISV,,16.0,False,
1992.0,Winter,Luge,"Singles, Women (Olympic)",Anne Abernathy,80503,ISV,,23.0,False,
1994.0,Winter,Luge,"Singles, Women (Olympic)",Anne Abernathy,80503,ISV,,20.0,False,
1998.0,Winter,Luge,"Singles, Women (Olympic)",Anne Abernathy,80503,ISV,,24.0,False,
2002.0,Winter,Luge,"Singles, Women (Olympic)",Anne Abernathy,80503,ISV,,26.0,False,
2006.0,Winter,Luge,"Singles, Women (Olympic)",Anne Abernathy,80503,ISV,,,False,
1952.0,Winter,Alpine Skiing (Skiing),"Slalom, Women (Olympic)",Edmée Abetel,80504,SUI,,25.0,False,
1988.0,Winter,Cross Country Skiing (Skiing),"5 kilometres, Women (Olympic)",Piroska Abos,80505,ESP,,49.0,False,
1988.0,Winter,Cross Country Skiing (Skiing),"10 kilometres, Women (Olympic)",Piroska Abos,80505,ESP,,46.0,False,
1988.0,Winter,Cross Country Skiing (Skiing),"20 kilometres, Women (Olympic)",Piroska Abos,80505,ESP,,49.0,False,
1994.0,Winter,Figure Skating (Skating),"Singles, Women (Olympic)",Tsvetelina Abrasheva,80506,BUL,,24.0,False,
1994.0,Winter,Alpine Skiing (Skiing),"Slalom, Women (Olympic)",Martina Accola,80507,SUI,,17.0,False,
1998.0,Winter,Alpine Skiing (Skiing),"Slalom, Women (Olympic)",Martina Accola,80507,SUI,,7.0,False,
1964.0,Winter,Cross Country Skiing (Skiing),"5 kilometres, Women (Olympic)",Rita Achkina,80508,URS,,10.0,False,
1968.0,Winter,Cross Country Skiing (Skiing),"5 kilometres, Women (Olympic)",Rita Achkina,80508,URS,,6.0,False,
1968.0,Winter,Cross Country Skiing (Skiing),"3 × 5 kilometres Relay, Women (Olympic)",Rita Achkina,80508,URS,Soviet Union,3.0,False,Bronze
1992.0,Winter,Biathlon,"7.5 kilometres Sprint, Women (Olympic)",Jiřína Adamičková,80509,TCH,,5.0,False,
1992.0,Winter,Biathlon,"15 kilometres, Women (Olympic)",Jiřína Adamičková,80509,TCH,,23.0,False,
1992.0,Winter,Biathlon,"3 × 7.5 kilometres Relay, Women (Olympic)",Jiřína Adamičková,80509,TCH,Czechoslovakia,8.0,False,
1994.0,Winter,Biathlon,"7.5 kilometres Sprint, Women (Olympic)",Jiřína Pelcová,80509,CZE,,49.0,False,
1994.0,Winter,Biathlon,"15 kilometres, Women (Olympic)",Jiřína Pelcová,80509,CZE,,37.0,False,
1994.0,Winter,Biathlon,"4 × 7.5 kilometres Relay, Women (Olympic)",Jiřína Pelcová,80509,CZE,Czech Republic,7.0,False,
1998.0,Winter,Biathlon,"7.5 kilometres Sprint, Women (Olympic)",Jiřína Pelcová,80509,CZE,,35.0,False,
1998.0,Winter,Biathlon,"15 kilometres, Women (Olympic)",Jiřína Pelcová,80509,CZE,,38.0,False,
1998.0,Winter,Biathlon,"4 × 7.5 kilometres Relay, Women (Olympic)",Jiřína Pelcová,80509,CZE,Czech Republic,6.0,False,
1948.0,Winter,Figure Skating (Skating),"Singles, Women (Olympic)",Bridget Adams,80510,GBR,,7.0,False,
1994.0,Winter,Speed Skating (Skating),"1,500 metres, Women (Olympic)",Ulrike Adeberg,80511,GER,,14.0,False,
1964.0,Winter,Alpine Skiing (Skiing),"Downhill, Women (Olympic)",Ruth Adolf,80512,SUI,,20.0,False,
1964.0,Winter,Alpine Skiing (Skiing),"Giant Slalom, Women (Olympic)",Ruth Adolf,80512,SUI,,12.0,False,
1952.0,Winter,Alpine Skiing (Skiing),"Downhill, Women (Olympic)",Marysette Agnel,80513,FRA,,22.0,False,
1952.0,Winter,Alpine Skiing (Skiing),"Giant Slalom, Women (Olympic)",Marysette Agnel,80513,FRA,,19.0,False,
1952.0,Winter,Alpine Skiing (Skiing),"Slalom, Women (Olympic)",Marysette Agnel,80513,FRA,,7.0,False,
1956.0,Winter,Alpine Skiing (Skiing),"Downhill, Women (Olympic)",Marysette Agnel,80513,FRA,,21.0,False,
1956.0,Winter,Alpine Skiing (Skiing),"Giant Slalom, Women (Olympic)",Marysette Agnel,80513,FRA,,8.0,False,
1956.0,Winter,Alpine Skiing (Skiing),"Slalom, Women (Olympic)",Marysette Agnel,80513,FRA,,9.0,False,
1952.0,Winter,Alpine Skiing (Skiing),"Giant Slalom, Women (Olympic)",Kerstin Ahlqvist,80514,SWE,,26.0,False,
1952.0,Winter,Alpine Skiing (Skiing),"Slalom, Women (Olympic)",Kerstin Ahlqvist,80514,SWE,,20.0,False,
1972.0,Winter,Cross Country Skiing (Skiing),"5 kilometres, Women (Olympic)",Akiko Akasaka,80515,JPN,,43.0,False,
1992.0,Winter,Cross Country Skiing (Skiing),"5 kilometres, Women (Olympic)",Brigitte Albrecht,80516,SUI,,20.0,False,
1992.0,Winter,Cross Country Skiing (Skiing),"30 kilometres, Women (Olympic)",Brigitte Albrecht,80516,SUI,,17.0,False,
1992.0,Winter,Cross Country Skiing (Skiing),"5/10 kilometres Pursuit, Women (Olympic)",Brigitte Albrecht,80516,SUI,,37.0,False,
1992.0,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women (Olympic)",Brigitte Albrecht,80516,SUI,Switzerland,9.0,False,
1994.0,Winter,Cross Country Skiing (Skiing),"15 kilometres, Women (Olympic)",Brigitte Albrecht,80516,SUI,,38.0,False,
1994.0,Winter,Cross Country Skiing (Skiing),"30 kilometres, Women (Olympic)",Brigitte Albrecht,80516,SUI,,37.0,False,
1994.0,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women (Olympic)",Brigitte Albrecht,80516,SUI,Switzerland,5.0,False,
1998.0,Winter,Cross Country Skiing (Skiing),"5 kilometres, Women (Olympic)",Brigitte Albrecht,80516,SUI,,10.0,False,
1998.0,Winter,Cross Country Skiing (Skiing),"30 kilometres, Women (Olympic)",Brigitte Albrecht,80516,SUI,,7.0,False,
1998.0,Winter,Cross Country Skiing (Skiing),"5/10 kilometres Pursuit, Women (Olympic)",Brigitte Albrecht,80516,SUI,,10.0,False,
1998.0,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women (Olympic)",Brigitte Albrecht,80516,SUI,Switzerland,4.0,False,
2002.0,Winter,Cross Country Skiing (Skiing),"15 kilometres, Women (Olympic)",Brigitte Albrecht-Loretan,80516,SUI,,31.0,False,
2002.0,Winter,Cross Country Skiing (Skiing),"5/5 kilometres Pursuit, Women (Olympic)",Brigitte Albrecht-Loretan,80516,SUI,,29.0,False,
2002.0,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women (Olympic)",Brigitte Albrecht-Loretan,80516,SUI,Switzerland,3.0,False,Bronze
1980.0,Winter,Speed Skating (Skating),"1,000 metres, Women (Olympic)",Sylvia Albrecht,80517,GDR,,3.0,False,Bronze
1980.0,Winter,Speed Skating (Skating),"1,500 metres, Women (Olympic)",Sylvia Albrecht,80517,GDR,,9.0,False,
1980.0,Winter,Speed Skating (Skating),"3,000 metres, Women (Olympic)",Sylvia Albrecht,80517,GDR,,14.0,False,
1952.0,Winter,Cross Country Skiing (Skiing),"10 kilometres, Women (Olympic)",Margit Albrechtsson,80518,SWE,,8.0,False,
1952.0,Winter,Figure Skating (Skating),"Singles, Women (Olympic)",Tenley Albright,80519,USA,,2.0,False,Silver
1956.0,Winter,Figure Skating (Skating),"Singles, Women (Olympic)",Tenley Albright,80519,USA,,1.0,False,Gold
1992.0,Winter,Cross Country Skiing (Skiing),"5 kilometres, Women (Olympic)",Inés Alder,80520,ARG,,60.0,False,
1992.0,Winter,Cross Country Skiing (Skiing),"15 kilometres, Women (Olympic)",Inés Alder,80520,ARG,,49.0,False,
1992.0,Winter,Cross Country Skiing (Skiing),"30 kilometres, Women (Olympic)",Inés Alder,80520,ARG,,55.0,False,
1992.0,Winter,Cross Country Skiing (Skiing),"5/10 kilometres Pursuit, Women (Olympic)",Inés Alder,80520,ARG,,57.0,False,
1992.0,Winter,Biathlon,"7.5 kilometres Sprint, Women (Olympic)",Nadezhda Aleksieva,80521,BUL,,4.0,False,
1992.0,Winter,Biathlon,"15 kilometres, Women (Olympic)",Nadezhda Aleksieva,80521,BUL,,5.0,False,
1992.0,Winter,Biathlon,"3 × 7.5 kilometres Relay, Women (Olympic)",Nadezhda Aleksieva,80521,BUL,Bulgaria,4.0,False,
1994.0,Winter,Biathlon,"15 kilometres, Women (Olympic)",Nadezhda Aleksieva,80521,BUL,,47.0,False,
1994.0,Winter,Biathlon,"4 × 7.5 kilometres Relay, Women (Olympic)",Nadezhda Aleksieva,80521,BUL,Bulgaria,13.0,False,
1992.0,Winter,Short Track Speed Skating (Skating),"3,000 metres Relay, Women (Olympic)",Yuliya Allagulova,80522,EUN,Unified Team,3.0,False,Bronze
1980.0,Winter,Figure Skating (Skating),"Singles, Women (Olympic)",Lisa-Marie Allen,80523,USA,,5.0,False,
1972.0,Winter,Cross Country Skiing (Skiing),"5 kilometres, Women (Olympic)",Roseanne Allen,80524,CAN,,40.0,False,
1972.0,Winter,Cross Country Skiing (Skiing),"3 × 5 kilometres Relay, Women (Olympic)",Roseanne Allen,80524,CAN,Canada,10.0,False,
1968.0,Winter,Alpine Skiing (Skiing),"Giant Slalom, Women (Olympic)",Wendy Allen,80525,USA,,22.0,False,
1968.0,Winter,Alpine Skiing (Skiing),"Slalom, Women (Olympic)",Wendy Allen,80525,USA,,,False,
1976.0,Winter,Figure Skating (Skating),"Singles, Women (Olympic)",Kim Alletson,80526,CAN,,14.0,False,
1952.0,Winter,Cross Country Skiing (Skiing),"10 kilometres, Women (Olympic)",Eivor Alm,80527,SWE,,9.0,False,
1992.0,Winter,Alpine Skiing (Skiing),"Giant Slalom, Women (Olympic)",Verónica Ampudia,80528,MEX,,44.0,False,
1992.0,Winter,Alpine Skiing (Skiing),"Slalom, Women (Olympic)",Verónica Ampudia,80528,MEX,,42.0,False,
1964.0,Winter,Luge,"Singles, Women (Olympic)",Ursula Amstein,80529,SUI,,11.0,False,
1964.0,Winter,Speed Skating (Skating),"1,500 metres, Women (Olympic)",An Sen-Za,80530,PRK,,30.0,False,
1936.0,Winter,Figure Skating (Skating),"Singles, Women (Olympic)",Angela Anderes,80531,SUI,,13.0,False,
1960.0,Winter,Alpine Skiing (Skiing),"Giant Slalom, Women (Olympic)",Beverly Anderson,80532,USA,,36.0,False,
1960.0,Winter,Alpine Skiing (Skiing),"Slalom, Women (Olympic)",Beverly Anderson,80532,USA,,26.0,False,
1992.0,Winter,Biathlon,"15 kilometres, Women (Olympic)",Patrice Anderson,80533,USA,,42.0,False,
1988.0,Winter,Alpine Skiing (Skiing),"Giant Slalom, Women (Olympic)",Kristina Andersson,80534,SWE,,22.0,False,
1988.0,Winter,Alpine Skiing (Skiing),"Slalom, Women (Olympic)",Kristina Andersson,80534,SWE,,,False,
1992.0,Winter,Alpine Skiing (Skiing),"Giant Slalom, Women (Olympic)",Kristina Andersson,80534,SWE,,10.0,False,
1992.0,Winter,Alpine Skiing (Skiing),"Slalom, Women (Olympic)",Kristina Andersson,80534,SWE,,11.0,False,
1994.0,Winter,Alpine Skiing (Skiing),"Giant Slalom, Women (Olympic)",Kristina Andersson,80534,SWE,,,False,
1994.0,Winter,Alpine Skiing (Skiing),"Slalom, Women (Olympic)",Kristina Andersson,80534,SWE,,19.0,False,
1980.0,Winter,Cross Country Skiing (Skiing),"10 kilometres, Women (Olympic)",Carola Anding,80535,GDR,,12.0,False,
1980.0,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women (Olympic)",Carola Anding,80535,GDR,East Germany,1.0,False,Gold
1984.0,Winter,Cross Country Skiing (Skiing),"5 kilometres, Women (Olympic)",Carola Anding,80535,GDR,,21.0,False,
1984.0,Winter,Cross Country Skiing (Skiing),"10 kilometres, Women (Olympic)",Carola Anding,80535,GDR,,24.0,False,
1984.0,Winter,Cross Country Skiing (Skiing),"20 kilometres, Women (Olympic)",Carola Anding,80535,GDR,,30.0,False,
1984.0,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women (Olympic)",Carola Anding,80535,GDR,East Germany,8.0,False,
1994.0,Winter,Figure Skating (Skating),"Singles, Women (Olympic)",Marta Andrade,80536,ESP,,20.0,False,
1998.0,Winter,Figure Skating (Skating),"Singles, Women (Olympic)",Marta Andrade,80536,ESP,,22.0,False,
1994.0,Winter,Biathlon,"15 kilometres, Women (Olympic)",Gunn Margit Andreassen,80537,NOR,,43.0,False,
1998.0,Winter,Biathlon,"7.5 kilometres Sprint, Women (Olympic)",Gunn Margit Andreassen,80537,NOR,,56.0,False,
1998.0,Winter,Biathlon,"15 kilometres, Women (Olympic)",Gunn Margit Andreassen,80537,NOR,,40.0,False,
1998.0,Winter,Biathlon,"4 × 7.5 kilometres Relay, Women (Olympic)",Gunn Margit Andreassen,80537,NOR,Norway,3.0,False,Bronze
2002.0,Winter,Biathlon,"7.5 kilometres Sprint, Women (Olympic)",Gunn Margit Andreassen,80537,NOR,,16.0,False,
2002.0,Winter,Biathlon,"10 kilometres Pursuit, Women (Olympic)",Gunn Margit Andreassen,80537,NOR,,16.0,False,
2002.0,Winter,Biathlon,"15 kilometres, Women (Olympic)",Gunn Margit Andreassen,80537,NOR,,30.0,False,
2002.0,Winter,Biathlon,"4 × 7.5 kilometres Relay, Women (Olympic)",Gunn Margit Andreassen,80537,NOR,Norway,2.0,False,Silver
2006.0,Winter,Biathlon,"15 kilometres, Women (Olympic)",Gunn Margit Andreassen,80537,NOR,,60.0,False,
2006.0,Winter,Biathlon,"4 × 6 kilometres Relay, Women (Olympic)",Gunn Margit Andreassen,80537,NOR,Norway,5.0,False,
1984.0,Winter,Alpine Skiing (Skiing),"Giant Slalom, Women (Olympic)",Gabriela Angaut,80538,ARG,,40.0,False,
